region,Time,sex,edu,agest,prjpropfinal
28,2010,m,e1,15,2.513560550684871
29,2010,m,e1,15,2.904198737644766
31,2010,m,e1,15,1.8986568974533025
32,2010,m,e1,15,1.5896119083131242
33,2010,m,e1,15,1.995895329082916
35,2010,m,e1,15,1.9974518469168228
41,2010,m,e1,15,1.69852851445021
42,2010,m,e1,15,1.4501901964654542
43,2010,m,e1,15,1.608652471514044
50,2010,m,e1,15,1.582347374514063
51,2010,m,e1,15,2.4895913374411065
52,2010,m,e1,15,1.738984568328721
53,2010,m,e1,15,1.802948644260313
11,2015,m,e1,15,1.98846843864664
12,2015,m,e1,15,4.946789848885281
13,2015,m,e1,15,4.266832246302449
14,2015,m,e1,15,4.1450564327270705
15,2015,m,e1,15,2.7620107955685245
16,2015,m,e1,15,1.5874513626793063
17,2015,m,e1,15,1.709355479032459
21,2015,m,e1,15,2.953559264533481
22,2015,m,e1,15,2.241272349054402
23,2015,m,e1,15,1.9770871245493704
24,2015,m,e1,15,1.5974579693280515
25,2015,m,e1,15,1.9147181409214675
26,2015,m,e1,15,2.453821760175716
27,2015,m,e1,15,2.8515228514687445
28,2015,m,e1,15,2.1145848979147166
29,2015,m,e1,15,2.4373990143928093
31,2015,m,e1,15,1.4845138493359429
32,2015,m,e1,15,1.2347060310843574
33,2015,m,e1,15,1.5622293920437524
35,2015,m,e1,15,1.4874884892178004
41,2015,m,e1,15,1.3033802655761937
42,2015,m,e1,15,1.0900403025823031
43,2015,m,e1,15,1.2469529494226206
50,2015,m,e1,15,1.2542997047334947
51,2015,m,e1,15,1.9310247380546075
52,2015,m,e1,15,1.3480110337843654
53,2015,m,e1,15,1.3547122601757082
11,2020,m,e1,15,1.4069908601361445
12,2020,m,e1,15,3.476958880869751
13,2020,m,e1,15,3.098229477671736
14,2020,m,e1,15,2.877713253515431
15,2020,m,e1,15,2.0363041099455677
16,2020,m,e1,15,1.0963620040966733
17,2020,m,e1,15,1.188821889985472
21,2020,m,e1,15,2.132999666872359
22,2020,m,e1,15,1.6252444654198366
23,2020,m,e1,15,1.3749490228268184
24,2020,m,e1,15,1.1406240735156594
25,2020,m,e1,15,1.3978381434314755
26,2020,m,e1,15,1.7771464984719934
27,2020,m,e1,15,2.139440373599107
28,2020,m,e1,15,1.5637336465139955
29,2020,m,e1,15,1.7984056285389494
31,2020,m,e1,15,1.0173861529527115
32,2020,m,e1,15,0.8407377513086789
33,2020,m,e1,15,1.071568194498736
35,2020,m,e1,15,0.9742103730502968
41,2020,m,e1,15,0.8774774511071187
42,2020,m,e1,15,0.7199235875570938
43,2020,m,e1,15,0.8475371976709443
50,2020,m,e1,15,0.8715532855757624
51,2020,m,e1,15,1.3130803496617514
52,2020,m,e1,15,0.91616121195737
53,2020,m,e1,15,0.8944092696671754
