region,Time,sex,edu,agest,asfr
11,2035,f,e2,15,147.38888128105827
12,2035,f,e2,15,138.3475098997479
13,2035,f,e2,15,156.60748843235854
14,2035,f,e2,15,243.5995667812443
15,2035,f,e2,15,138.4163558011103
16,2035,f,e2,15,145.57289936834576
17,2035,f,e2,15,172.31846669591218
21,2035,f,e2,15,145.11746649679995
22,2035,f,e2,15,146.36591815566302
23,2035,f,e2,15,105.40944353391428
24,2035,f,e2,15,124.33619048124773
25,2035,f,e2,15,117.12841814032032
26,2035,f,e2,15,129.64490455860374
27,2035,f,e2,15,138.46517948745122
28,2035,f,e2,15,126.60504488474461
29,2035,f,e2,15,111.28325303430252
31,2035,f,e2,15,86.5868313461247
32,2035,f,e2,15,123.26288126644661
33,2035,f,e2,15,97.9687369534574
35,2035,f,e2,15,87.87462813840217
41,2035,f,e2,15,111.6936952345076
42,2035,f,e2,15,110.97605206049995
43,2035,f,e2,15,98.5556647310466
50,2035,f,e2,15,171.1615455984765
51,2035,f,e2,15,137.06515409445186
52,2035,f,e2,15,130.30685094292082
53,2035,f,e2,15,97.7631347653405
11,2040,f,e2,15,147.38888128105827
12,2040,f,e2,15,138.3475098997479
13,2040,f,e2,15,156.60748843235854
14,2040,f,e2,15,243.5995667812443
15,2040,f,e2,15,138.4163558011103
16,2040,f,e2,15,145.57289936834576
17,2040,f,e2,15,172.31846669591218
21,2040,f,e2,15,145.11746649679995
22,2040,f,e2,15,146.36591815566302
23,2040,f,e2,15,105.40944353391428
24,2040,f,e2,15,124.33619048124773
25,2040,f,e2,15,117.12841814032032
26,2040,f,e2,15,129.64490455860374
27,2040,f,e2,15,138.46517948745122
28,2040,f,e2,15,126.60504488474461
29,2040,f,e2,15,111.28325303430252
31,2040,f,e2,15,86.5868313461247
32,2040,f,e2,15,123.26288126644661
33,2040,f,e2,15,97.9687369534574
35,2040,f,e2,15,87.87462813840217
41,2040,f,e2,15,111.6936952345076
42,2040,f,e2,15,110.97605206049995
43,2040,f,e2,15,98.5556647310466
50,2040,f,e2,15,171.1615455984765
51,2040,f,e2,15,137.06515409445186
