sex,age,education,area,pop
Female,15--19,Lower Secondary,32,76593.20240793248
Female,15--19,Lower Secondary,33,321231.3449712683
Female,15--19,Lower Secondary,35,907054.7115804594
Female,15--19,Lower Secondary,41,237786.65585433986
Female,15--19,Lower Secondary,42,142136.65457799158
Female,15--19,Lower Secondary,43,224042.188338703
Female,15--19,Lower Secondary,50,52674.86854728502
Female,15--19,Lower Secondary,51,70977.41009639553
Female,15--19,Lower Secondary,52,139376.89871392265
Female,15--19,Lower Secondary,53,58418.52441934636
Female,15--19,Upper Secondary,11,13290.960276903368
Female,15--19,Upper Secondary,12,5826.4722850774715
Female,15--19,Upper Secondary,13,22034.401238143586
Female,15--19,Upper Secondary,14,3954.30761262505
Female,15--19,Upper Secondary,15,42093.59743867021
Female,15--19,Upper Secondary,16,5280.147896936956
Female,15--19,Upper Secondary,17,13475.848164652773
Female,15--19,Upper Secondary,21,45932.445427799554
Female,15--19,Upper Secondary,22,19478.2825564359
Female,15--19,Upper Secondary,23,73955.18261765526
Female,15--19,Upper Secondary,24,25432.38915285871
Female,15--19,Upper Secondary,25,27323.18721057313
Female,15--19,Upper Secondary,26,60315.86163988696
Female,15--19,Upper Secondary,27,17974.141985140966
Female,15--19,Upper Secondary,28,13589.041099151013
Female,15--19,Upper Secondary,29,90632.460572152
Female,15--19,Upper Secondary,31,169711.22905997754
Female,15--19,Upper Secondary,32,31887.54025828145
Female,15--19,Upper Secondary,33,109688.0167898401
Female,15--19,Upper Secondary,35,374789.58099878096
Female,15--19,Upper Secondary,41,108575.29763651192
Female,15--19,Upper Secondary,42,70200.4122750937
Female,15--19,Upper Secondary,43,90199.45556755335
Female,15--19,Upper Secondary,50,21328.32465478836
Female,15--19,Upper Secondary,51,30575.98863867371
Female,15--19,Upper Secondary,52,57434.99381365622
Female,15--19,Upper Secondary,53,27277.849733080555
Female,15--19,Post Secondary,11,242.66663466783228
Female,15--19,Post Secondary,12,118.124521219578
Female,15--19,Post Secondary,13,551.7630711419059
Female,15--19,Post Secondary,14,73.0412297682366
Female,15--19,Post Secondary,15,539.8462657788114
Female,15--19,Post Secondary,16,100.1742831813188
Female,15--19,Post Secondary,17,178.6368742521565
Female,15--19,Post Secondary,21,641.0908801635352
Female,15--19,Post Secondary,22,210.6596484392241
Female,15--19,Post Secondary,23,917.6191857121204
Female,15--19,Post Secondary,24,268.0722622903556
Female,15--19,Post Secondary,25,341.6808663406057
Female,15--19,Post Secondary,26,1033.2739596548984
Female,15--19,Post Secondary,27,178.964038510801
Female,15--19,Post Secondary,28,202.8549966786433
Female,15--19,Post Secondary,29,926.5904187543329
Female,15--19,Post Secondary,31,3015.5526043749387
Female,15--19,Post Secondary,32,817.0067488742812
Female,15--19,Post Secondary,33,2894.9263649945983
Female,15--19,Post Secondary,35,12324.178918753198
Female,15--19,Post Secondary,41,2374.9455902353043
Female,15--19,Post Secondary,42,1788.6263250208756
Female,15--19,Post Secondary,43,2205.8169909613266
Female,15--19,Post Secondary,50,499.5882072433113
Female,15--19,Post Secondary,51,716.0682311068497
Female,15--19,Post Secondary,52,1520.8597511953928
Female,15--19,Post Secondary,53,844.0447435592224
Female,20--24,No Education,11,1764.018677452758
Female,20--24,No Education,12,2217.6170819646077
Female,20--24,No Education,13,9517.940363636892
Female,20--24,No Education,14,1309.3886448759115
Female,20--24,No Education,15,13749.297591337441
Female,20--24,No Education,16,892.7376194962051
Female,20--24,No Education,17,1419.2918686185358
Female,20--24,No Education,21,13471.33616963345
Female,20--24,No Education,22,3899.0788423079753
Female,20--24,No Education,23,11304.54624243736
Female,20--24,No Education,24,2754.1467395395343
Female,20--24,No Education,25,4060.8813436702562
Female,20--24,No Education,26,11225.370940388235
Female,20--24,No Education,27,5544.322232849963
Female,20--24,No Education,28,2421.7805690658975
Female,20--24,No Education,29,18896.367362548608
Female,20--24,No Education,31,14124.36761334872
Female,20--24,No Education,32,1952.689931223264
Female,20--24,No Education,33,10442.48186616532
Female,20--24,No Education,35,34694.47340282684
