area,year,age_interval,edu,sex,n
13,1991,35-39,e3,0,14688.88715848
13,1991,35-39,e3,1,13708.00213479
13,1991,35-39,e4,0,6160.11984082
13,1991,35-39,e4,1,6468.97652014
13,1991,35-39,e5,0,9019.89724426
13,1991,35-39,e5,1,8015.90345627
13,1991,35-39,e6,0,1832.39696086
13,1991,35-39,e6,1,2599.11016518
13,1991,40-44,e1,0,12851.02336096
13,1991,40-44,e1,1,13805.54595885
13,1991,40-44,e2,0,8447.37692593
13,1991,40-44,e2,1,9174.20917469
13,1991,40-44,e3,0,10664.78477122
13,1991,40-44,e3,1,11411.24944215
13,1991,40-44,e4,0,3671.66569753
13,1991,40-44,e4,1,3914.22171299
13,1991,40-44,e5,0,5839.16245218
13,1991,40-44,e5,1,5424.34441224
13,1991,40-44,e6,0,1570.60564829
13,1991,40-44,e6,1,1952.57550239
13,1991,45-49,e1,0,11940.2785534
13,1991,45-49,e1,1,11324.09132622
13,1991,45-49,e2,0,6308.13387969
13,1991,45-49,e2,1,7284.39214513
13,1991,45-49,e3,0,7216.13373733
13,1991,45-49,e3,1,7943.6938295
13,1991,45-49,e4,0,2221.94987179
13,1991,45-49,e4,1,2336.57857781
13,1991,45-49,e5,0,2961.39830671
13,1991,45-49,e5,1,2923.37227749
13,1991,45-49,e6,0,818.08964105
13,1991,45-49,e6,1,1422.52678513
13,1991,50-54,e1,0,10466.91829559
13,1991,50-54,e1,1,10864.82126379
13,1991,50-54,e2,0,5229.16146234
13,1991,50-54,e2,1,6177.68547484
13,1991,50-54,e3,0,5459.25001931
13,1991,50-54,e3,1,5692.11942013
13,1991,50-54,e4,0,1396.20630703
13,1991,50-54,e4,1,1701.90601291
13,1991,50-54,e5,0,1765.12748125
13,1991,50-54,e5,1,1978.17116805
13,1991,50-54,e6,0,415.36843294
13,1991,50-54,e6,1,878.00519431
13,1991,55-59,e1,0,8128.42277468
13,1991,55-59,e1,1,8604.3589194
13,1991,55-59,e2,0,3925.45546159
13,1991,55-59,e2,1,4188.79070916
13,1991,55-59,e3,0,3972.09318439
13,1991,55-59,e3,1,3712.76523209
13,1991,55-59,e4,0,726.90705291
13,1991,55-59,e4,1,777.23179775
13,1991,55-59,e5,0,964.45605148
13,1991,55-59,e5,1,1031.89276489
13,1991,55-59,e6,0,124.98307581
13,1991,55-59,e6,1,463.47910494
13,1991,60-64,e1,0,7955.11356717
13,1991,60-64,e1,1,7621.60731316
13,1991,60-64,e2,0,3415.64233566
13,1991,60-64,e2,1,3658.05981357
13,1991,60-64,e3,0,2868.40546868
13,1991,60-64,e3,1,3137.27811584
13,1991,60-64,e4,0,505.94981166
13,1991,60-64,e4,1,725.65885482
13,1991,60-64,e5,0,705.91150326
13,1991,60-64,e5,1,755.77261256
13,1991,60-64,e6,0,142.77066741
13,1991,60-64,e6,1,240.71104449
13,1991,65-69,e1,0,6514.21160163
13,1991,65-69,e1,1,6626.71681972
13,1991,65-69,e2,0,2454.30298497
13,1991,65-69,e2,1,2756.87838768
13,1991,65-69,e3,0,1960.80981307
13,1991,65-69,e3,1,1889.13159475
13,1991,65-69,e4,0,419.1069041
13,1991,65-69,e4,1,522.42760949
13,1991,65-69,e5,0,465.40337897
13,1991,65-69,e5,1,295.94566214
13,1991,65-69,e6,0,106.75991682
13,1991,65-69,e6,1,145.35448237
13,1991,70-74,e1,0,4594.21768514
13,1991,70-74,e1,1,4135.1267204
13,1991,70-74,e2,0,1259.39511133
13,1991,70-74,e2,1,1561.11384065
13,1991,70-74,e3,0,1167.41769085
13,1991,70-74,e3,1,1147.58930939
13,1991,70-74,e4,0,146.25276771
13,1991,70-74,e4,1,181.49379436
13,1991,70-74,e5,0,231.40668974
13,1991,70-74,e5,1,113.32934066
13,1991,70-74,e6,0,41.10276206
13,1991,70-74,e6,1,154.27959709
13,1991,75-79,e1,0,3063.36135283
13,1991,75-79,e1,1,2684.52933765
13,1991,75-79,e2,0,832.09909924
13,1991,75-79,e2,1,1115.98188655
13,1991,75-79,e3,0,706.64898943
13,1991,75-79,e3,1,698.50819514
13,1991,75-79,e4,0,224.11516776
13,1991,75-79,e4,1,106.69968106
13,1991,75-79,e5,0,104.79834734
13,1991,75-79,e5,1,126.30897027
13,1991,75-79,e6,0,30.95218065
13,1991,75-79,e6,1,39.07503381
13,1991,80-84,e1,0,2027.67108343
13,1991,80-84,e1,1,1558.68493712
13,1991,80-84,e2,0,386.99395175
13,1991,80-84,e2,1,486.36580985
13,1991,80-84,e3,0,314.24730214
13,1991,80-84,e3,1,301.4602177
13,1991,80-84,e4,0,98.53441346
13,1991,80-84,e4,1,104.18943787
13,1991,80-84,e5,0,82.62316727999999
13,1991,80-84,e5,1,68.88282166
13,1991,80-84,e6,0,4.81796104
13,1991,80-84,e6,1,33.54706612
13,1991,85-89,e1,0,922.47082304
13,1991,85-89,e1,1,523.02601623
13,1991,85-89,e2,0,176.90547696
13,1991,85-89,e2,1,153.61647583
13,1991,85-89,e3,0,207.7455185
13,1991,85-89,e3,1,180.85263871
13,1991,85-89,e4,0,38.69081819
13,1991,85-89,e4,1,10.94336325
13,1991,85-89,e5,0,24.565986780000003
13,1991,85-89,e5,1,53.01447394
13,1991,85-89,e6,0,10.63266528
13,1991,85-89,e6,1,10.94183643
13,1991,90-94,e1,0,173.81319712
13,1991,90-94,e1,1,122.64885736
13,1991,90-94,e2,0,48.15850574
13,1991,90-94,e2,1,91.55235879
13,1991,90-94,e3,0,21.11604947
13,1991,90-94,e3,1,36.96923238
13,1991,90-94,e4,0,14.63889743
13,1991,90-94,e4,1,5.15050222
13,1991,90-94,e5,0,5.62113794
13,1991,90-94,e5,1,9.14205971
13,1991,95-99,e1,0,76.07483811
13,1991,95-99,e1,1,14.831425320000001
13,1991,95-99,e2,1,13.556485510000002
13,1991,95-99,e3,0,27.438747300000003
13,1991,95-99,e3,1,10.68520184
13,1991,95-99,e4,0,19.68693829
13,1991,100+,e1,0,44.37803732
13,1991,100+,e1,1,9.76769299
13,1991,100+,e2,0,16.76131291
14,1991,0-4,NA,0,14482.24787683
14,1991,0-4,NA,1,15215.69702917
14,1991,05-09,e1,0,7645.62514694
14,1991,05-09,e1,1,8509.84863174
14,1991,05-09,e2,0,6918.01325058
14,1991,05-09,e2,1,6733.89421546
14,1991,05-09,e3,0,74.57783063
14,1991,05-09,e3,1,33.80764534
14,1991,10-14,e1,0,1331.59951527
14,1991,10-14,e1,1,1847.5912266
14,1991,10-14,e2,0,6649.70619692
14,1991,10-14,e2,1,7860.52743046
14,1991,10-14,e3,0,4769.20712968
14,1991,10-14,e3,1,3556.30393141
14,1991,10-14,e4,0,80.13616157
14,1991,10-14,e4,1,34.21797063
14,1991,15-19,e1,0,1096.28533864
14,1991,15-19,e1,1,1526.03439016
14,1991,15-19,e2,0,1550.7124785
14,1991,15-19,e2,1,2128.23060462
14,1991,15-19,e3,0,5239.68066972
14,1991,15-19,e3,1,5564.39712724
14,1991,15-19,e4,0,2185.6443752
14,1991,15-19,e4,1,2017.80294685
14,1991,15-19,e5,0,313.89277574
