age_group,year,area,npx,sex
85,2033,Acre,0.5472264057936234,male
90,2033,Acre,0,male
0,2034,Acre,0.9874785417258535,male
1,2034,Acre,0.998163403156674,male
5,2034,Acre,0.9991267142003062,male
10,2034,Acre,0.99841774762383,male
15,2034,Acre,0.9935171016495362,male
20,2034,Acre,0.991457415523124,male
25,2034,Acre,0.9912950077417825,male
30,2034,Acre,0.9889862608638849,male
35,2034,Acre,0.9871726172827151,male
40,2034,Acre,0.9823799289266617,male
45,2034,Acre,0.97516611531075,male
50,2034,Acre,0.9680552877331313,male
55,2034,Acre,0.9502052761250069,male
60,2034,Acre,0.9302872504804972,male
65,2034,Acre,0.9076215419150633,male
70,2034,Acre,0.8517577073340372,male
75,2034,Acre,0.7698838528561243,male
80,2034,Acre,0.6914470671692716,male
85,2034,Acre,0.5489479367165566,male
90,2034,Acre,0,male
0,2035,Acre,0.9875838081490759,male
1,2035,Acre,0.9981873480528807,male
5,2035,Acre,0.9991368767737208,male
10,2035,Acre,0.9984383135929423,male
15,2035,Acre,0.9935967662759388,male
20,2035,Acre,0.9915543903971911,male
25,2035,Acre,0.9913997032307852,male
30,2035,Acre,0.989124345787686,male
35,2035,Acre,0.9873259821534289,male
40,2035,Acre,0.9825783076786301,male
45,2035,Acre,0.9754166917418435,male
50,2035,Acre,0.9683350917745598,male
55,2035,Acre,0.9506105485037855,male
60,2035,Acre,0.930755686536073,male
65,2035,Acre,0.9081308896784619,male
70,2035,Acre,0.8525350147009139,male
75,2035,Acre,0.7710692011786462,male
80,2035,Acre,0.6926031982254366,male
85,2035,Acre,0.5505629449227301,male
90,2035,Acre,0,male
0,2036,Acre,0.9876782899734479,male
1,2036,Acre,0.9982097569108702,male
5,2036,Acre,0.9991463872505433,male
10,2036,Acre,0.9984575601101754,male
15,2036,Acre,0.993671324137308,male
20,2036,Acre,0.9916451503967478,male
25,2036,Acre,0.991497689786776,male
30,2036,Acre,0.9892535863839136,male
35,2036,Acre,0.9874695261715245,male
40,2036,Acre,0.9827639913039088,male
45,2036,Acre,0.9756512448525647,male
50,2036,Acre,0.9685970112736589,male
55,2036,Acre,0.9509899648485394,male
60,2036,Acre,0.9311942663695346,male
65,2036,Acre,0.908607796133335,male
70,2036,Acre,0.8532630291628215,male
75,2036,Acre,0.7721799180150388,male
80,2036,Acre,0.6936865662684326,male
85,2036,Acre,0.5520773623521551,male
90,2036,Acre,0,male
0,2037,Acre,0.9877630748121525,male
1,2037,Acre,0.9982307223448726,male
5,2037,Acre,0.9991552849717303,male
10,2037,Acre,0.9984755667530345,male
15,2037,Acre,0.993741082677214,male
20,2037,Acre,0.9917300694797461,male
25,2037,Acre,0.9915893710012338,male
30,2037,Acre,0.9893745141617056,male
35,2037,Acre,0.9876038392544462,male
40,2037,Acre,0.9829377413137207,male
45,2037,Acre,0.9758707342311912,male
50,2037,Acre,0.9688421162843432,male
55,2037,Acre,0.9513450659703646,male
60,2037,Acre,0.9316047653721176,male
65,2037,Acre,0.9090541875102566,male
70,2037,Acre,0.8539446499832296,male
75,2037,Acre,0.773220324443886,male
80,2037,Acre,0.6947013805002016,male
85,2037,Acre,0.5534968744049467,male
90,2037,Acre,0,male
0,2038,Acre,0.987839144004706,male
1,2038,Acre,0.9982503321416175,male
5,2038,Acre,0.9991636072244666,male
10,2038,Acre,0.9984924089480189,male
15,2038,Acre,0.9938063333746162,male
20,2038,Acre,0.9918095022116685,male
25,2038,Acre,0.9916751295489433,male
30,2038,Acre,0.9894876331554743,male
35,2038,Acre,0.9877294808622195,male
40,2038,Acre,0.9831002800419805,male
45,2038,Acre,0.9760760703044212,male
50,2038,Acre,0.9690714221711815,male
55,2038,Acre,0.9516773147464616,male
60,2038,Acre,0.9319888696374335,male
65,2038,Acre,0.9094718935358591,male
70,2038,Acre,0.8545826347975366,male
75,2038,Acre,0.7741945394646113,male
80,2038,Acre,0.6956516537651498,male
85,2038,Acre,0.5548269188009454,male
90,2038,Acre,0,male
0,2039,Acre,0.9879073823251703,male
1,2039,Acre,0.9982686694102753,male
5,2039,Acre,0.9991713893064241,male
10,2039,Acre,0.9985081581000212,male
15,2039,Acre,0.9938673522309225,male
20,2039,Acre,0.9918837843533512,male
25,2039,Acre,0.9917553278201884,male
30,2039,Acre,0.9895934207448229,male
35,2039,Acre,0.9878469809010093,male
40,2039,Acre,0.9832522917870372,male
45,2039,Acre,0.9762681157397318,male
50,2039,Acre,0.9692858911500044,male
55,2039,Acre,0.9519880981952008,male
60,2039,Acre,0.9323481782646006,male
65,2039,Acre,0.9098626498650666,male
70,2039,Acre,0.8551796026430479,male
75,2039,Acre,0.7751064829645902,male
80,2039,Acre,0.6965412053568729,male
85,2039,Acre,0.5560726864100853,male
90,2039,Acre,0,male
0,2040,Acre,0.9879685869397439,male
1,2040,Acre,0.9982858127431324,male
5,2040,Acre,0.9991786645945073,male
10,2040,Acre,0.9985228817308699,male
15,2040,Acre,0.9939244002940109,male
20,2040,Acre,0.9919532334943519,male
25,2040,Acre,0.9918303086023782,male
30,2040,Acre,0.9896923285411711,male
35,2040,Acre,0.9879568407015338,male
40,2040,Acre,0.9833944240531607,male
45,2040,Acre,0.976447686978007,male
50,2040,Acre,0.9694864339766975,male
55,2040,Acre,0.9522787297825156,male
60,2040,Acre,0.9326842059388638,male
65,2040,Acre,0.9102281008226624,male
70,2040,Acre,0.8557380375321443,male
75,2040,Acre,0.7759598796821234,male
80,2040,Acre,0.6973736648048587,male
85,2040,Acre,0.5572391237496876,male
90,2040,Acre,0,male
0,2041,Acre,0.9880234756429697,male
1,2041,Acre,0.9983018363839687,male
5,2041,Acre,0.9991854646168012,male
10,2041,Acre,0.998536643624423,male
15,2041,Acre,0.9939777242090321,male
20,2041,Acre,0.9920181497194186,male
25,2041,Acre,0.9919003957976511,male
30,2041,Acre,0.9897847833232013,male
35,2041,Acre,0.9880595340524032,male
40,2041,Acre,0.9835272888657377,male
45,2041,Acre,0.9766155558631869,male
50,2041,Acre,0.969673911746814,male
55,2041,Acre,0.9525504519040894,male
60,2041,Acre,0.9329983857246742,male
65,2041,Acre,0.9105698023828515,male
70,2041,Acre,0.856260292454088,male
75,2041,Acre,0.7767582639782158,male
80,2041,Acre,0.6981524764581262,male
85,2041,Acre,0.5583309368741192,male
90,2041,Acre,0,male
0,2042,Acre,0.9880726944076981,male
1,2042,Acre,0.9983168104015302,male
5,2042,Acre,0.9991918191266264,male
10,2042,Acre,0.9985495039759795,male
15,2042,Acre,0.9940275567872163,male
20,2042,Acre,0.9920788162973311,male
25,2042,Acre,0.9919658951648509,male
30,2042,Acre,0.9898711880057003,male
35,2042,Acre,0.9881555082711836,male
40,2042,Acre,0.9836514641376847,male
45,2042,Acre,0.9767724513401664,male
50,2042,Acre,0.9698491377736602,male
55,2042,Acre,0.9528044384951153,male
60,2042,Acre,0.933292072014676,male
65,2042,Acre,0.910889225324718,male
70,2042,Acre,0.8567485937051281,male
75,2042,Acre,0.7775049852517733,male
80,2042,Acre,0.6988809047038665,male
85,2042,Acre,0.5593525964109209,male
90,2042,Acre,0,male
0,2043,Acre,0.9881168242876558,male
1,2043,Acre,0.9983308008658722,male
5,2043,Acre,0.9991977561777592,male
10,2043,Acre,0.9985615195441041,male
15,2043,Acre,0.9940741175851806,male
20,2043,Acre,0.992135500382936,male
25,2043,Acre,0.9920270950759433,male
30,2043,Acre,0.9899519226285718,male
35,2043,Acre,0.9882451852984385,male
40,2043,Acre,0.9837674950677734,male
45,2043,Acre,0.9769190611962253,male
50,2043,Acre,0.9700128795170353,male
55,2043,Acre,0.9530417977260413,male
60,2043,Acre,0.933566543585749,male
65,2043,Acre,0.9111877585098747,male
70,2043,Acre,0.8572050454595793,male
75,2043,Acre,0.7782032138529232,male
80,2043,Acre,0.6995620396787738,male
85,2043,Acre,0.560308343524639,male
90,2043,Acre,0,male
