region,Time,sex,edu,agest,prop_in,inmigfinal
22,2025,f,e2,-5,NA,NA
23,2025,f,e2,-5,NA,NA
24,2025,f,e2,-5,NA,NA
25,2025,f,e2,-5,NA,NA
26,2025,f,e2,-5,NA,NA
27,2025,f,e2,-5,NA,NA
28,2025,f,e2,-5,NA,NA
29,2025,f,e2,-5,NA,NA
31,2025,f,e2,-5,NA,NA
32,2025,f,e2,-5,NA,NA
33,2025,f,e2,-5,NA,NA
35,2025,f,e2,-5,NA,NA
41,2025,f,e2,-5,NA,NA
42,2025,f,e2,-5,NA,NA
43,2025,f,e2,-5,NA,NA
50,2025,f,e2,-5,NA,NA
51,2025,f,e2,-5,NA,NA
52,2025,f,e2,-5,NA,NA
53,2025,f,e2,-5,NA,NA
11,2030,f,e2,-5,NA,NA
12,2030,f,e2,-5,NA,NA
13,2030,f,e2,-5,NA,NA
14,2030,f,e2,-5,NA,NA
15,2030,f,e2,-5,NA,NA
16,2030,f,e2,-5,NA,NA
17,2030,f,e2,-5,NA,NA
21,2030,f,e2,-5,NA,NA
22,2030,f,e2,-5,NA,NA
23,2030,f,e2,-5,NA,NA
24,2030,f,e2,-5,NA,NA
25,2030,f,e2,-5,NA,NA
26,2030,f,e2,-5,NA,NA
27,2030,f,e2,-5,NA,NA
28,2030,f,e2,-5,NA,NA
29,2030,f,e2,-5,NA,NA
31,2030,f,e2,-5,NA,NA
32,2030,f,e2,-5,NA,NA
33,2030,f,e2,-5,NA,NA
35,2030,f,e2,-5,NA,NA
41,2030,f,e2,-5,NA,NA
42,2030,f,e2,-5,NA,NA
43,2030,f,e2,-5,NA,NA
50,2030,f,e2,-5,NA,NA
51,2030,f,e2,-5,NA,NA
52,2030,f,e2,-5,NA,NA
53,2030,f,e2,-5,NA,NA
11,2035,f,e2,-5,NA,NA
12,2035,f,e2,-5,NA,NA
13,2035,f,e2,-5,NA,NA
14,2035,f,e2,-5,NA,NA
15,2035,f,e2,-5,NA,NA
16,2035,f,e2,-5,NA,NA
17,2035,f,e2,-5,NA,NA
21,2035,f,e2,-5,NA,NA
22,2035,f,e2,-5,NA,NA
23,2035,f,e2,-5,NA,NA
24,2035,f,e2,-5,NA,NA
25,2035,f,e2,-5,NA,NA
26,2035,f,e2,-5,NA,NA
27,2035,f,e2,-5,NA,NA
28,2035,f,e2,-5,NA,NA
29,2035,f,e2,-5,NA,NA
31,2035,f,e2,-5,NA,NA
32,2035,f,e2,-5,NA,NA
33,2035,f,e2,-5,NA,NA
35,2035,f,e2,-5,NA,NA
41,2035,f,e2,-5,NA,NA
42,2035,f,e2,-5,NA,NA
43,2035,f,e2,-5,NA,NA
50,2035,f,e2,-5,NA,NA
51,2035,f,e2,-5,NA,NA
52,2035,f,e2,-5,NA,NA
53,2035,f,e2,-5,NA,NA
11,2040,f,e2,-5,NA,NA
12,2040,f,e2,-5,NA,NA
13,2040,f,e2,-5,NA,NA
14,2040,f,e2,-5,NA,NA
15,2040,f,e2,-5,NA,NA
16,2040,f,e2,-5,NA,NA
17,2040,f,e2,-5,NA,NA
21,2040,f,e2,-5,NA,NA
22,2040,f,e2,-5,NA,NA
23,2040,f,e2,-5,NA,NA
24,2040,f,e2,-5,NA,NA
25,2040,f,e2,-5,NA,NA
26,2040,f,e2,-5,NA,NA
27,2040,f,e2,-5,NA,NA
28,2040,f,e2,-5,NA,NA
29,2040,f,e2,-5,NA,NA
31,2040,f,e2,-5,NA,NA
32,2040,f,e2,-5,NA,NA
33,2040,f,e2,-5,NA,NA
35,2040,f,e2,-5,NA,NA
41,2040,f,e2,-5,NA,NA
42,2040,f,e2,-5,NA,NA
43,2040,f,e2,-5,NA,NA
50,2040,f,e2,-5,NA,NA
51,2040,f,e2,-5,NA,NA
52,2040,f,e2,-5,NA,NA
53,2040,f,e2,-5,NA,NA
